,target,enrich,p
0,dyr,44.8595146871009,0.1
1,dyr,44.8595146871009,0.1
2,dyr,19.05581637976004,0.25
3,dyr,9.964539007092199,0.5
4,dyr,6.658767772511848,0.75
5,dyr,5.0,1.0
6,inha,26.0,0.1
7,inha,26.0,0.1
8,inha,18.90909090909091,0.25
9,inha,9.904761904761905,0.5
10,inha,6.5,0.75
11,inha,4.9523809523809526,1.0
12,aces,47.638888888888886,0.1
13,aces,47.638888888888886,0.1
14,aces,19.87735849056604,0.25
15,aces,9.985781990521327,0.5
16,aces,6.646687697160884,0.75
17,aces,4.992890995260663,1.0
18,cdk2,47.12436974789915,0.1
19,cdk2,47.12436974789915,0.1
20,cdk2,18.77611607142857,0.25
21,cdk2,9.424873949579831,0.5
22,cdk2,6.275046624393882,0.75
23,cdk2,4.712436974789916,1.0
24,kith,44.666666666666664,0.1
25,kith,44.666666666666664,0.1
26,kith,19.142857142857142,0.25
27,kith,9.925925925925926,0.5
28,kith,6.536585365853658,0.75
29,kith,4.962962962962963,1.0
30,esr1,40.51282051282051,0.1
31,esr1,40.51282051282051,0.1
32,esr1,19.487179487179485,0.25
33,esr1,9.743589743589743,0.5
34,esr1,6.495726495726496,0.75
35,esr1,4.871794871794871,1.0
36,gcr,38.40909090909091,0.1
37,gcr,38.40909090909091,0.1
38,gcr,19.651162790697676,0.25
39,gcr,9.941176470588236,0.5
40,gcr,6.653543307086614,0.75
41,gcr,5.0,1.0
42,rxra,46.916666666666664,0.1
43,rxra,46.916666666666664,0.1
44,rxra,19.413793103448278,0.25
45,rxra,9.87719298245614,0.5
46,rxra,6.623529411764705,0.75
47,rxra,4.982300884955753,1.0
48,ampc,24.583333333333332,0.1
49,ampc,24.583333333333332,0.1
50,ampc,9.833333333333334,0.25
51,ampc,7.375,0.5
52,ampc,5.736111111111111,0.75
53,ampc,4.375,1.0
54,hivrt,7.35,0.1
55,hivrt,7.35,0.1
56,hivrt,7.3500000000000005,0.25
57,hivrt,7.3500000000000005,0.5
58,hivrt,6.391304347826087,0.75
59,hivrt,4.9,1.0
60,pgh1,39.75187969924812,0.1
61,pgh1,39.75187969924812,0.1
62,pgh1,17.960486322188448,0.25
63,pgh1,8.980243161094224,0.5
64,pgh1,5.9868287740628165,0.75
65,pgh1,4.5141329258976315,1.0
66,bace1,48.45161290322581,0.1
67,bace1,48.45161290322581,0.1
68,bace1,19.763157894736842,0.25
69,bace1,9.947019867549669,0.5
70,bace1,6.646017699115045,0.75
71,bace1,4.990033222591362,1.0
