dataset	nway	kshot	kquery	n_problems	classifier_type	hidden_size	num_epochs	acc	acc_ci95	recall	recall_ci95	train_time	train_time_ci95	test_time	test_time_ci95
postera	2	1	20	50	HD	8192	0	50.7	1.86992628731723	0.526	0.0582908086065033	1.1439323425292968e-05	2.3712902519211644e-06	0.0028108739852905273	0.00020619738728629353
postera	2	1	20	50	HD-Sparse	8192	0	50.5	2.1559999999999997	0.6599999999999998	0.08043167535243809	7.905960083007812e-06	1.115927480484086e-06	0.0024846363067626952	5.165442222229576e-05
postera	2	1	20	50	HD-Kron	8192	0	53.65	1.7210652747644406	0.6350000000000001	0.04631990500853818	3.92913818359375e-06	3.2002129925311333e-07	0.0022835350036621094	7.204849377008128e-06
postera	2	1	20	50	L1	0	0	50.75	1.8399483688408214	0.36400000000000005	0.08909013934212921	3.379344940185547e-05	9.774343059961315e-07	0.0020057201385498048	6.715419205883632e-05
postera	2	1	20	50	L2	0	0	51.9	1.7341293146706216	0.281	0.07656001859978877	3.310203552246094e-05	3.608479160159571e-07	0.0019600677490234377	6.573794359261696e-06
postera	2	1	20	50	cosine	0	0	52.2	2.508646870326711	0.573	0.045225486973608134	3.319263458251953e-05	5.207479753590485e-07	0.002136425971984863	1.8119013950822723e-05
postera	2	1	20	50	MLP	512	5	52.1	2.1352308727629428	0.49699999999999994	0.06520705262469696	0.011627106666564942	0.00016673670188529114	0.0018677759170532228	4.46027884155656e-06
postera	2	1	20	50	Uniform	0	0	0.5045000000000001	0.01982847830772699	0.504	0.03194739876734881			0.000953836441040039	4.049409589424946e-06
postera	2	2	20	50	HD	8192	0	52.15	2.3683175631658857	0.606	0.053579388275716615	7.4672698974609376e-06	7.990088288318669e-07	0.00217806339263916	3.265527722274721e-05
postera	2	2	20	50	HD-Sparse	8192	0	52.0	2.2518685574429074	0.594	0.07059483584512397	8.440017700195312e-06	1.353332982841491e-06	0.002395434379577637	0.00015882405642893358
postera	2	2	20	50	HD-Kron	8192	0	51.7	1.9670433447181581	0.5920000000000001	0.05151184283249823	3.643035888671875e-06	4.9525026220329036e-08	0.002031826972961426	7.531447605186106e-06
postera	2	2	20	50	L1	0	0	53.75	1.8399483688408214	0.332	0.08070631717529923	3.2196044921875e-05	3.546462274411206e-07	0.0017635297775268554	1.0108919169871385e-05
postera	2	2	20	50	L2	0	0	54.15	1.534631186963174	0.313	0.07984733052519664	3.233432769775391e-05	3.6768911871491413e-07	0.0017745685577392578	5.530686914420199e-06
postera	2	2	20	50	cosine	0	0	53.8	2.2528919015345585	0.6430000000000001	0.04285279024754398	3.263950347900391e-05	6.634020265502311e-07	0.0018941450119018554	6.3351445552603e-06
postera	2	2	20	50	MLP	512	5	52.05	2.185597748900744	0.5940000000000001	0.06139776256509678	0.010129117965698242	7.3970962844098e-05	0.0016962718963623048	5.248471292298732e-06
postera	2	2	20	50	Uniform	0	0	0.509	0.02259362317115163	0.503	0.031287641521853315			0.0008790159225463867	3.3036786986518273e-06
postera	2	4	20	50	HD	8192	0	55.0	2.0463000757464678	0.5509999999999999	0.051521536933597	9.670257568359376e-06	1.565011903659751e-06	0.002341461181640625	6.960747365627296e-05
postera	2	4	20	50	HD-Sparse	8192	0	55.35	2.331535133769165	0.5660000000000001	0.06854061429546718	7.882118225097657e-06	7.367844302317009e-07	0.002227630615234375	4.156684606602264e-05
postera	2	4	20	50	HD-Kron	8192	0	52.55	2.453877731265354	0.58	0.04452264143107414	4.096031188964844e-06	8.431114846128107e-08	0.0019969415664672853	9.960444844799849e-06
postera	2	4	20	50	L1	0	0	54.95	2.0672658077760584	0.44800000000000006	0.07142364784859423	3.25775146484375e-05	3.933681490846736e-07	0.0017615318298339843	1.1640234787802412e-05
postera	2	4	20	50	L2	0	0	53.9	1.9947754961398536	0.35800000000000004	0.06322997668827658	3.2706260681152345e-05	5.604005612104864e-07	0.0017443943023681642	6.797385183551782e-06
postera	2	4	20	50	cosine	0	0	56.1	2.209503401219378	0.6090000000000001	0.0400425649528099	3.22723388671875e-05	1.238196201968812e-07	0.0018856430053710938	7.229642884893007e-06
postera	2	4	20	50	MLP	512	5	55.8	2.1310888109133317	0.576	0.05333505383891536	0.010104818344116211	0.00013998301503790003	0.0016787528991699218	6.3886239260813294e-06
postera	2	4	20	50	Uniform	0	0	0.4985	0.02184367020443222	0.49800000000000005	0.029848682919016708			0.0009530973434448242	2.4952648505761377e-06
postera	2	8	20	50	HD	8192	0	55.9	1.8530035294084033	0.509	0.045520129701045436	7.719993591308594e-06	5.84688251277398e-07	0.0022664642333984374	7.089932601288792e-05
postera	2	8	20	50	HD-Sparse	8192	0	59.8	2.105700529515059	0.451	0.044993848112825384	8.096694946289063e-06	9.468535059547549e-07	0.002279024124145508	6.924548163730509e-05
postera	2	8	20	50	HD-Kron	8192	0	56.1	2.065732141396846	0.555	0.04631990500853818	3.8290023803710934e-06	6.395019411722138e-08	0.001941366195678711	7.113122094432092e-06
postera	2	8	20	50	L1	0	0	58.75	1.641317153995534	0.45	0.050657564094614735	3.2567977905273436e-05	5.677267340666844e-07	0.001732320785522461	1.0057873826859811e-05
postera	2	8	20	50	L2	0	0	59.55	1.7677526750085828	0.446	0.05597781960741236	3.221988677978515e-05	3.814751634210337e-07	0.0017401647567749023	7.372943746845395e-06
postera	2	8	20	50	cosine	0	0	57.0	2.2174868658010127	0.615	0.035524155162368044	3.201007843017578e-05	1.4587559210360804e-07	0.0018660497665405273	5.287467171307173e-06
postera	2	8	20	50	MLP	512	5	56.65	2.2924879236323137	0.529	0.044616592070663576	0.01008129596710205	8.537959677569146e-05	0.0016700172424316407	4.821003380660372e-06
postera	2	8	20	50	Uniform	0	0	0.4969999999999999	0.021093461356543646	0.47700000000000004	0.029622597320289115			0.000857696533203125	2.7704620707994634e-06
postera	2	16	20	50	HD	8192	0	58.55	1.8128145851134363	0.409	0.03955996723962243	7.753372192382813e-06	5.621979409681115e-07	0.002214021682739258	2.7857473845889068e-05
postera	2	16	20	50	HD-Sparse	8192	0	60.8	1.7279153682978803	0.341	0.040233983247995715	7.3146820068359374e-06	2.839218260975124e-07	0.002175588607788086	1.0517202628266723e-05
