Step Name,Workspace,State,Run Time,Elapsed Time,Start Time,Submit Time,End Time,Number Restarts
dude_FEAT.maacs.TARGET.thrb,FEAT.maacs.TARGET.thrb,FINISHED,0d:00h:12m:02s,0d:03h:05m:25s,2022-06-02 19:45:28,2022-06-02 16:52:05,2022-06-02 19:57:30,0
dude_FEAT.rdkit.TARGET.andr,FEAT.rdkit.TARGET.andr,FINISHED,0d:00h:15m:02s,0d:01h:02m:15s,2022-06-02 17:39:12,2022-06-02 16:51:59,2022-06-02 17:54:14,0
dude_FEAT.smiles_to_seq.TARGET.andr,FEAT.smiles_to_seq.TARGET.andr,FAILED,0d:00h:16m:02s,0d:01h:00m:15s,2022-06-02 17:36:12,2022-06-02 16:51:59,2022-06-02 17:52:14,0
dude_FEAT.maacs.TARGET.src,FEAT.maacs.TARGET.src,FAILED,0d:00h:37m:06s,0d:03h:28m:29s,2022-06-02 19:43:28,2022-06-02 16:52:05,2022-06-02 20:20:34,0
dude_FEAT.ecfp.TARGET.vgfr2,FEAT.ecfp.TARGET.vgfr2,FAILED,0d:00h:26m:04s,0d:03h:21m:28s,2022-06-02 19:47:29,2022-06-02 16:52:05,2022-06-02 20:13:33,0
dude_FEAT.mordred.TARGET.gcr,FEAT.mordred.TARGET.gcr,FAILED,0d:00h:17m:02s,0d:01h:47m:18s,2022-06-02 18:22:17,2022-06-02 16:52:01,2022-06-02 18:39:19,0
dude_FEAT.smiles_to_seq.TARGET.egfr,FEAT.smiles_to_seq.TARGET.egfr,FAILED,0d:00h:43m:05s,0d:01h:54m:20s,2022-06-02 18:03:15,2022-06-02 16:52:00,2022-06-02 18:46:20,0
dude_FEAT.smiles_to_image.TARGET.dyr,FEAT.smiles_to_image.TARGET.dyr,FAILED,0d:00h:31m:03s,0d:01h:41m:18s,2022-06-02 18:02:15,2022-06-02 16:52:00,2022-06-02 18:33:18,0
dude_FEAT.mordred.TARGET.prgr,FEAT.mordred.TARGET.prgr,FAILED,0d:00h:19m:03s,0d:02h:56m:25s,2022-06-02 19:29:26,2022-06-02 16:52:04,2022-06-02 19:48:29,0
dude_FEAT.smiles_to_seq.TARGET.rxra,FEAT.smiles_to_seq.TARGET.rxra,FINISHED,0d:00h:08m:01s,0d:02h:51m:24s,2022-06-02 19:35:27,2022-06-02 16:52:04,2022-06-02 19:43:28,0
dude_FEAT.smiles_to_seq.TARGET.inha,FEAT.smiles_to_seq.TARGET.inha,FINISHED,0d:00h:04m:01s,0d:01h:53m:18s,2022-06-02 18:41:19,2022-06-02 16:52:02,2022-06-02 18:45:20,0
dude_FEAT.smiles_to_image.TARGET.ada,FEAT.smiles_to_image.TARGET.ada,FAILED,0d:00h:17m:02s,0d:00h:42m:12s,2022-06-02 17:17:09,2022-06-02 16:51:59,2022-06-02 17:34:11,0
dude_FEAT.rdkit.TARGET.hmdh,FEAT.rdkit.TARGET.hmdh,FINISHED,0d:00h:11m:02s,0d:01h:58m:20s,2022-06-02 18:39:19,2022-06-02 16:52:01,2022-06-02 18:50:21,0
dude_FEAT.ecfp.TARGET.mcr,FEAT.ecfp.TARGET.mcr,FINISHED,0d:00h:07m:01s,0d:02h:02m:19s,2022-06-02 18:47:20,2022-06-02 16:52:02,2022-06-02 18:54:21,0
dude_FEAT.smiles_to_image.TARGET.pygm,FEAT.smiles_to_image.TARGET.pygm,FAILED,0d:00h:14m:03s,0d:02h:54m:25s,2022-06-02 19:32:26,2022-06-02 16:52:04,2022-06-02 19:46:29,0
dude_FEAT.smiles_to_image.TARGET.hmdh,FEAT.smiles_to_image.TARGET.hmdh,FAILED,0d:00h:21m:03s,0d:02h:07m:21s,2022-06-02 18:38:19,2022-06-02 16:52:01,2022-06-02 18:59:22,0
dude_FEAT.smiles_to_seq.TARGET.aldr,FEAT.smiles_to_seq.TARGET.aldr,FINISHED,0d:00h:11m:02s,0d:00h:44m:13s,2022-06-02 17:25:10,2022-06-02 16:51:59,2022-06-02 17:36:12,0
dude_FEAT.mordred.TARGET.kith,FEAT.mordred.TARGET.kith,FINISHED,0d:00h:07m:01s,0d:02h:02m:19s,2022-06-02 18:47:20,2022-06-02 16:52:02,2022-06-02 18:54:21,0
dude_FEAT.smiles_to_seq.TARGET.pnph,FEAT.smiles_to_seq.TARGET.pnph,FINISHED,0d:00h:09m:01s,0d:02h:32m:22s,2022-06-02 19:15:24,2022-06-02 16:52:03,2022-06-02 19:24:25,0
dude_FEAT.mordred.TARGET.sahh,FEAT.mordred.TARGET.sahh,FINISHED,0d:00h:08m:02s,0d:02h:55m:25s,2022-06-02 19:39:27,2022-06-02 16:52:04,2022-06-02 19:47:29,0
dude_FEAT.maacs.TARGET.vgfr2,FEAT.maacs.TARGET.vgfr2,FAILED,0d:00h:24m:04s,0d:03h:24m:28s,2022-06-02 19:52:29,2022-06-02 16:52:05,2022-06-02 20:16:33,0
dude_FEAT.smiles_to_image.TARGET.mcr,FEAT.smiles_to_image.TARGET.mcr,FAILED,0d:00h:15m:02s,0d:02h:11m:20s,2022-06-02 18:48:20,2022-06-02 16:52:02,2022-06-02 19:03:22,0
dude_FEAT.rdkit.TARGET.ace,FEAT.rdkit.TARGET.ace,FAILED,0d:00h:20m:02s,0d:00h:21m:09s,2022-06-02 16:53:06,2022-06-02 16:51:59,2022-06-02 17:13:08,0
dude_FEAT.smiles_to_seq.TARGET.mcr,FEAT.smiles_to_seq.TARGET.mcr,FINISHED,0d:00h:06m:01s,0d:02h:01m:19s,2022-06-02 18:47:20,2022-06-02 16:52:02,2022-06-02 18:53:21,0
dude_FEAT.smiles_to_seq.TARGET.hmdh,FEAT.smiles_to_seq.TARGET.hmdh,FINISHED,0d:00h:10m:01s,0d:01h:55m:19s,2022-06-02 18:37:19,2022-06-02 16:52:01,2022-06-02 18:47:20,0
dude_FEAT.rdkit.TARGET.mk14,FEAT.rdkit.TARGET.mk14,FAILED,0d:00h:38m:05s,0d:02h:36m:24s,2022-06-02 18:50:21,2022-06-02 16:52:02,2022-06-02 19:28:26,0
dude_FEAT.mordred.TARGET.thrb,FEAT.mordred.TARGET.thrb,FAILED,0d:00h:13m:02s,0d:03h:06m:25s,2022-06-02 19:45:28,2022-06-02 16:52:05,2022-06-02 19:58:30,0
dude_FEAT.smiles_to_seq.TARGET.hivrt,FEAT.smiles_to_seq.TARGET.hivrt,FINISHED,0d:00h:04m:01s,0d:01h:44m:18s,2022-06-02 18:32:18,2022-06-02 16:52:01,2022-06-02 18:36:19,0
dude_FEAT.ecfp.TARGET.prgr,FEAT.ecfp.TARGET.prgr,FAILED,0d:00h:17m:02s,0d:02h:53m:24s,2022-06-02 19:28:26,2022-06-02 16:52:04,2022-06-02 19:45:28,0
dude_FEAT.smiles_to_image.TARGET.ampc,FEAT.smiles_to_image.TARGET.ampc,FAILED,0d:00h:14m:02s,0d:00h:56m:14s,2022-06-02 17:34:11,2022-06-02 16:51:59,2022-06-02 17:48:13,0
