dataset	nway	kshot	kquery	n_problems	classifier_type	hidden_size	num_epochs	acc	ci95
pdbbind	3	1	20	100	HD	8192	0	85.82	2.06
pdbbind	3	1	20	100	HD-Sparse	8192	0	0.0	0.0
pdbbind	3	1	20	100	L1	0	0	81.28	2.2
pdbbind	3	1	20	100	L2	0	0	82.55	2.06
pdbbind	3	1	20	100	cosine	0	0	85.52	1.61
pdbbind	3	1	20	100	MLP	512	5	84.9	1.69
pdbbind	3	2	20	100	HD	8192	0	88.2	1.32
pdbbind	3	2	20	100	HD-Sparse	8192	0	0.0	0.0
pdbbind	3	2	20	100	L1	0	0	86.7	1.64
pdbbind	3	2	20	100	L2	0	0	84.62	1.88
pdbbind	3	2	20	100	cosine	0	0	87.75	1.35
pdbbind	3	2	20	100	MLP	512	5	86.08	1.46
pdbbind	3	4	20	100	HD	8192	0	88.72	1.43
pdbbind	3	4	20	100	HD-Sparse	8192	0	0.0	0.0
pdbbind	3	4	20	100	L1	0	0	88.28	1.29
pdbbind	3	4	20	100	L2	0	0	87.05	1.65
pdbbind	3	4	20	100	cosine	0	0	88.1	1.16
pdbbind	3	4	20	100	MLP	512	5	89.32	1.02
pdbbind	3	8	20	100	HD	8192	0	90.35	0.96
pdbbind	3	8	20	100	HD-Sparse	8192	0	0.0	0.0
pdbbind	3	8	20	100	L1	0	0	88.02	0.93
pdbbind	3	8	20	100	L2	0	0	87.28	1.01
pdbbind	3	8	20	100	cosine	0	0	89.25	1.03
pdbbind	3	8	20	100	MLP	512	5	89.08	0.95
pdbbind	3	16	20	100	HD	8192	0	90.2	0.82
pdbbind	3	16	20	100	HD-Sparse	8192	0	0.0	0.0
pdbbind	3	16	20	100	L1	0	0	88.9	0.92
pdbbind	3	16	20	100	L2	0	0	86.78	0.97
pdbbind	3	16	20	100	cosine	0	0	88.38	0.96
pdbbind	3	16	20	100	MLP	512	5	89.4	1.08
pdbbind	3	32	20	100	HD	8192	0	90.38	0.96
pdbbind	3	32	20	100	HD-Sparse	8192	0	0.0	0.0
pdbbind	3	32	20	100	L1	0	0	87.85	0.98
pdbbind	3	32	20	100	L2	0	0	86.6	0.92
pdbbind	3	32	20	100	cosine	0	0	87.9	0.88
pdbbind	3	32	20	100	MLP	512	5	89.12	0.94
