,target,enrich,p,actives_database
0,PPARG,0.0,0.1,7
1,PPARG,0.0,0.25,7
2,PPARG,0.0,0.5,7
3,PPARG,0.0,0.75,7
4,PPARG,0.0,1.0,7
5,ALDH1,7.530161599763872,0.1,1792
6,ALDH1,4.1253712043738195,0.25,1792
7,ALDH1,2.510053866587958,0.5,1792
8,ALDH1,1.9340263199328227,0.75,1792
9,ALDH1,1.5622416643703498,1.0,1792
10,KAT2A,2.0404886725332334,0.1,49
11,KAT2A,1.6323909380265866,0.25,49
12,KAT2A,1.6323909380265866,0.5,49
13,KAT2A,1.0882606253510578,0.75,49
14,KAT2A,1.0203613501829223,1.0,49
15,MTORC1,4.150602409638553,0.1,24
16,MTORC1,1.6642512077294687,0.25,24
17,MTORC1,0.8321256038647343,0.5,24
18,MTORC1,0.5547504025764896,0.75,24
19,MTORC1,0.41656590084643286,1.0,24
20,FEN1,6.517562286272594,0.1,92
21,FEN1,3.9122957069127313,0.25,92
22,FEN1,2.173497614951517,0.5,92
23,FEN1,1.4489984099676778,0.75,92
24,FEN1,1.0868709827211183,1.0,92
25,ESR1_ant,11.210059171597635,0.1,26
26,ESR1_ant,4.554086538461538,0.25,26
27,ESR1_ant,2.277043269230769,0.5,26
28,ESR1_ant,1.5180288461538463,0.75,26
29,ESR1_ant,1.5299818291944278,1.0,26
30,ADRB2,0.0,0.1,4
31,ADRB2,0.0,0.25,4
32,ADRB2,0.0,0.5,4
33,ADRB2,0.0,0.75,4
34,ADRB2,0.0,1.0,4
35,GBA,4.759012916907654,0.1,42
36,GBA,2.856178648565258,0.25,42
37,GBA,3.3331082905752094,0.5,42
38,GBA,2.2218721872187217,0.75,42
39,GBA,1.9046333089001195,1.0,42
40,PKM2,5.102687458526875,0.1,137
41,PKM2,3.5035357322525225,0.25,137
42,PKM2,2.0437291771473047,0.5,137
43,PKM2,1.5571269921122322,0.75,137
44,PKM2,1.3868162273499567,1.0,137
45,OPRK1,0.0,0.1,6
46,OPRK1,0.0,0.25,6
47,OPRK1,0.0,0.5,6
48,OPRK1,0.0,0.75,6
49,OPRK1,0.0,1.0,6
50,TP53,19.309090909090912,0.1,20
51,TP53,7.866666666666667,0.25,20
52,TP53,3.9333333333333336,0.5,20
53,TP53,2.6222222222222222,0.75,20
54,TP53,1.9850467289719629,1.0,20
55,ESR1_ago,0.0,0.1,3
56,ESR1_ago,0.0,0.25,3
57,ESR1_ago,6.661904761904761,0.5,3
58,ESR1_ago,4.4412698412698415,0.75,3
59,ESR1_ago,3.3309523809523807,1.0,3
60,VDR,4.523261778163739,0.1,221
61,VDR,2.171653117742555,0.25,221
62,VDR,1.1763121054438839,0.5,221
63,VDR,0.9651791634411356,0.75,221
64,VDR,0.7692134967311794,1.0,221
65,IDH1,39.96556291390729,0.1,10
66,IDH1,15.993286219081273,0.25,10
67,IDH1,7.9984095427435395,0.5,10
68,IDH1,5.3326656848306335,0.75,10
69,IDH1,3.9996465260134766,1.0,10
70,MAPK1,1.2933585401939833,0.1,77
71,MAPK1,2.0746258817324805,0.25,77
72,MAPK1,1.5579465007673394,0.5,77
73,MAPK1,1.2112231544915713,0.75,77
74,MAPK1,0.9088021254476146,1.0,77
