,target,enrich,p,actives_database,hdc_actives_sampled
0,PPARG,40.10204081632653,0.01,7,7
1,PPARG,7.142857142857143,0.1,7,7
2,ALDH1,14.167859602518693,0.01,1792,1792
3,ALDH1,4.775995945360784,0.1,1792,1792
4,KAT2A,14.283420707732635,0.01,49,49
5,KAT2A,3.4692285906219356,0.1,49,49
6,MTORC1,24.903614457831324,0.01,24,24
7,MTORC1,5.83192261185006,0.1,24,24
8,FEN1,52.14049829018075,0.01,92,92
9,FEN1,8.368906566952612,0.1,92,92
10,ESR1_ant,33.6301775147929,0.01,26,26
11,ESR1_ant,4.97244094488189,0.1,26,26
12,ADRB2,24.976023017902815,0.01,4,4
13,ADRB2,2.4998400102393448,0.1,4,4
14,GBA,42.83111625216888,0.01,42,42
15,GBA,5.713899926700359,0.1,42,42
16,PKM2,37.17672291212437,0.01,137,137
17,PKM2,5.3282939261340445,0.1,137,137
18,OPRK1,33.313580246913574,0.01,6,6
19,OPRK1,5.0,0.1,6,6
20,TP53,33.79090909090909,0.01,20,20
21,TP53,5.4588785046728985,0.1,20,20
22,ESR1_ago,0.0,0.01,3,3
23,ESR1_ago,0.0,0.1,3,3
24,VDR,38.900051292208154,0.01,221,221
25,VDR,6.108460121100543,0.1,221,221
26,IDH1,29.97417218543046,0.01,10,10
27,IDH1,3.9996465260134766,0.1,10,10
28,MAPK1,3.8800756205819495,0.01,77,77
29,MAPK1,2.8562352514067886,0.1,77,77
