,ligand_id,file_prefix,label,train_test_split,atom_count,xsize,ysize,zsize,p_atom_count1,p_atom_count2,p_xsize,p_ysize,p_zsize,bind,pdbid
0,10gs,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/10gs,6.4,0,0,0,0,0,0,0,0,0,0,2,10gs
1,184l,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/184l,4.72,0,0,0,0,0,0,0,0,0,0,0,184l
2,185l,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/185l,3.54,0,0,0,0,0,0,0,0,0,0,0,185l
3,186l,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/186l,4.85,0,0,0,0,0,0,0,0,0,0,0,186l
4,188l,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/188l,3.33,0,0,0,0,0,0,0,0,0,0,0,188l
5,1a1e,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1a1e,6.0,0,0,0,0,0,0,0,0,0,0,2,1a1e
6,1a28,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1a28,8.29,0,0,0,0,0,0,0,0,0,0,1,1a28
7,1a4k,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1a4k,8.0,0,0,0,0,0,0,0,0,0,0,2,1a4k
8,1a4r,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1a4r,6.66,0,0,0,0,0,0,0,0,0,0,2,1a4r
9,1a4w,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1a4w,5.92,0,0,0,0,0,0,0,0,0,0,0,1a4w
10,1a69,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1a69,5.3,0,0,0,0,0,0,0,0,0,0,0,1a69
11,1a8i,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1a8i,5.52,0,0,0,0,0,0,0,0,0,0,0,1a8i
12,1a94,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1a94,7.85,0,0,0,0,0,0,0,0,0,0,2,1a94
13,1a99,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1a99,5.7,0,0,0,0,0,0,0,0,0,0,0,1a99
14,1a9m,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1a9m,6.92,0,0,0,0,0,0,0,0,0,0,2,1a9m
15,1aaq,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1aaq,8.4,0,0,0,0,0,0,0,0,0,0,1,1aaq
16,1add,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1add,6.74,0,0,0,0,0,0,0,0,0,0,2,1add
17,1adl,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1adl,5.36,0,0,0,0,0,0,0,0,0,0,0,1adl
18,1ado,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ado,6.0,0,0,0,0,0,0,0,0,0,0,2,1ado
19,1afk,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1afk,6.62,0,0,0,0,0,0,0,0,0,0,2,1afk
20,1afl,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1afl,6.28,0,0,0,0,0,0,0,0,0,0,2,1afl
21,1ai4,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ai4,2.5,0,0,0,0,0,0,0,0,0,0,0,1ai4
22,1ai5,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ai5,3.72,0,0,0,0,0,0,0,0,0,0,0,1ai5
23,1ai7,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ai7,4.09,0,0,0,0,0,0,0,0,0,0,0,1ai7
24,1aid,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1aid,4.82,0,0,0,0,0,0,0,0,0,0,0,1aid
25,1aj7,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1aj7,3.87,0,0,0,0,0,0,0,0,0,0,0,1aj7
26,1ajn,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ajn,2.63,0,0,0,0,0,0,0,0,0,0,0,1ajn
27,1ajp,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ajp,2.23,0,0,0,0,0,0,0,0,0,0,0,1ajp
28,1ajq,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ajq,4.31,0,0,0,0,0,0,0,0,0,0,0,1ajq
29,1ajv,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ajv,7.72,0,0,0,0,0,0,0,0,0,0,2,1ajv
30,1ajx,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ajx,7.91,0,0,0,0,0,0,0,0,0,0,2,1ajx
31,1alw,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1alw,6.52,0,0,0,0,0,0,0,0,0,0,2,1alw
32,1amk,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1amk,4.3,0,0,0,0,0,0,0,0,0,0,0,1amk
33,1amw,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1amw,4.54,0,0,0,0,0,0,0,0,0,0,0,1amw
34,1apv,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1apv,9.0,0,0,0,0,0,0,0,0,0,0,1,1apv
35,1atl,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1atl,6.28,0,0,0,0,0,0,0,0,0,0,2,1atl
36,1atr,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1atr,6.96,0,0,0,0,0,0,0,0,0,0,2,1atr
37,1avn,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1avn,3.9,0,0,0,0,0,0,0,0,0,0,0,1avn
38,1ax0,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ax0,3.13,0,0,0,0,0,0,0,0,0,0,0,1ax0
39,1azm,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1azm,6.1,0,0,0,0,0,0,0,0,0,0,2,1azm
40,1b05,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b05,7.12,0,0,0,0,0,0,0,0,0,0,2,1b05
41,1b0h,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b0h,6.7,0,0,0,0,0,0,0,0,0,0,2,1b0h
42,1b1h,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b1h,7.03,0,0,0,0,0,0,0,0,0,0,2,1b1h
43,1b2h,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b2h,4.54,0,0,0,0,0,0,0,0,0,0,0,1b2h
44,1b32,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b32,7.1,0,0,0,0,0,0,0,0,0,0,2,1b32
45,1b38,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b38,6.6,0,0,0,0,0,0,0,0,0,0,2,1b38
46,1b3f,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b3f,6.89,0,0,0,0,0,0,0,0,0,0,2,1b3f
47,1b3g,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b3g,6.7,0,0,0,0,0,0,0,0,0,0,2,1b3g
48,1b40,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b40,7.28,0,0,0,0,0,0,0,0,0,0,2,1b40
49,1b46,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b46,5.28,0,0,0,0,0,0,0,0,0,0,0,1b46
50,1b4h,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b4h,5.46,0,0,0,0,0,0,0,0,0,0,0,1b4h
51,1b4z,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b4z,5.23,0,0,0,0,0,0,0,0,0,0,0,1b4z
52,1b51,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b51,7.37,0,0,0,0,0,0,0,0,0,0,2,1b51
53,1b52,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b52,7.12,0,0,0,0,0,0,0,0,0,0,2,1b52
54,1b55,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b55,7.4,0,0,0,0,0,0,0,0,0,0,2,1b55
55,1b58,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b58,6.59,0,0,0,0,0,0,0,0,0,0,2,1b58
56,1b5h,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b5h,6.01,0,0,0,0,0,0,0,0,0,0,2,1b5h
